XXSDLEA,New_RCDT,Source,Comments
~26640,~24032101016,Second,
~16260,~24032073017,Second,
~35850,~35050160017,Second,
~28260,~24047018016,Second,
~12870,~17053230017,Second,
~06960,~32046307016,Second,
~37140,~32046302016,Second,
~25320,~44063156016,Second,
~12570,~19022099016,Second,
~13940,~19022088016,Second,
~15030,~19022100016,Second,
~16830,~19022087017,Second,
~21840,~19022108016,Second,
~31620,~30073101016,Second,
~19620,~04101207016,Second,
~24570,~44063154016,Second,
~09300,~13058200017,Second,
~27360,~13041201017,Second,
~09780,~45079122019,Second,
~06420,~07016206017,Second,
~20610,~56099204017,Second,
~23070,~56099210016,Second,
~23350,~56099205017,Second,
~26340,~24032111016,Second,
~18030,~28006502017,Second,
~22110,~35050120017,Second,
~01384,~26034307016,Second,
~05640,~50082201017,Second,
~15840,~50082077016,Second,
~29790,~50082203017,Second,
~04020,~07016217016,Second,
~04170,~05016214017,Second,
~06540,~07016218016,Second,
~07050,~07016228016,Second,
~08400,~07016230013,Second,
~14490,~05016202017,Second,
~14580,~07016231016,Second,
~19320,~19022086017,Second,
~19560,~07016233016,Second,
~22500,~07016210017,Second,
~22740,~06016212016,Second,
~23880,~06016204017,Second,
~03870,~34049117016,Second,
~11370,~44063155016,Second,
~17340,~34049124016,Second,
~17550,~34049127016,Second,
~12990,~41057014016,Second,
~05970,~21028103013,Second,
~40440,~19022094016,Second,
~13230,~53090309016,Second,
~31110,~53090303016,Second,
~40980,~53090308016,Second,
~20010,~13041008004,Elem,Added based on 2015 geojson Not mattching
~20350,~54092012026,Unified,Added based on 2015 geojson Not mattching
~10760,~54092005026,Unified,Added based on 2015 geojson Not mattching
~19740,~13095029003,Elem,Added based on 2015 geojson Not mattching
~12390,~13041007004,Elem,Added based on 2015 geojson Not mattching
~17901,,Second,Added based on 2017 data. Flanagan-Cornell District 74 in Cornell
~17902,,Second,Added based on 2017 data. Flanagan-Cornell District 74 in Pontiac
~17903,,Second,Added based on 2017 data. Flanagan-Cornell District 74 in Rooks Creek
